aluminium	ammonia	arsenic	barium	cadmium	chloramine	chromium	copper	fluoride	bacteria	viruses	lead	nitrates	nitrites	mercury	perchlorate	radium	selenium	silver	uranium	is_safe
0.1	14.56	0.02	0.94	0.05	0	0.09	0.03	0.37	0	0.004	0.118	17.14	0.69	0.006	0.82	1.65	0.09	0.03	0.03	0
0.24	5	0.31	2.56	0.1	7.89	0.05	0.15	1.19	0	0.61	0.164	17.72	1.56	0.001	14.52	0.53	0	0.06	0.01	1
0.02	17.49	0.76	2.98	0.13	3.83	0.34	0.04	0.76	0.49	0.003	0.109	18.08	1.31	0.01	42.2	2.86	0.09	0.21	0.03	0
0.42	3.22	0.01	0.65	0.008	0.9	0.83	1.08	0.15	0.23	0.007	0.184	2.67	1.21	0.001	13.9	4.86	0	0.21	0.05	1
0.76	0.47	0.03	1.69	0.002	3	0.18	0.7	0.57	0.3	0.005	0.065	15.53	1.38	0.008	33.34	5.93	0.03	0.47	0.03	1
3.5	22.22	0.79	1.21	0.04	2.81	0.36	0.29	0.51	0	0	0.048	2.09	2.19	0.005	24.14	5.45	0.07	0.04	0.07	0
5.01	19.29	0.65	3.45	0.03	1.82	0.64	0.36	0.64	0	0.69	0.005	2.01	1.69	0.001	16.5	1.45	0.07	0.32	0.05	0
0.1	5.87	0.03	2.92	0.06	0.16	0.09	0.05	0.91	0	0.75	0.191	1.29	0.86	0.005	0.52	0.15	0.09	0.02	0.02	0
2.46	13.29	0.01	1.38	0.001	7.17	0.24	0.38	0.61	0	0	0.03	1.43	1.01	0.009	6.99	3.6	0	0.37	0.04	1
3.67	21.82	0.11	0.96	0.02	2.12	0	1.47	1.24	0.83	0.83	0.026	1.12	2.41	0.009	44.46	6.65	0.1	0.18	0.09	0
0.06	27.5	0.09	0.85	0.01	0.24	0.09	1.04	1.36	0.72	0.72	0.161	12.25	1.27	0.008	1.34	3.3	0.06	0.09	0.04	0
3.54	4.22	0.05	0.63	0.006	4.43	0.5	1.58	0.13	0.97	0.97	0.17	11.6	1.07	0.006	9.82	0.83	0.06	0.23	0.08	1
0.04	13.62	0.01	0.22	0.02	0.04	0.07	1.3	0.37	0	0.98	0.156	10.39	0.81	0.008	1.07	0.39	0.05	0.01	0	0
2	19.09	0.12	1.36	0.01	3.15	0.87	1.48	0.45	0.59	0.59	0.053	4.5	2.04	0.005	41.47	7.63	0.08	0.49	0.04	0
0.08	12.56	0.62	0.68	0.04	8.1	0.76	0.7	0.52	0.59	0.59	0.152	15.17	1.22	0.004	8.27	0.51	0.03	0.35	0.07	0
0.05	11.88	0.81	4.39	0.11	6.43	0.58	0.08	0.04	0.46	0.002	0.089	8.25	1.89	0	16.64	1.66	0.06	0.33	0.05	0
0.03	2.38	0.03	0.34	0.04	0.1	0.04	0.03	0.3	0	0.003	0.05	16.42	0.23	0.005	0.14	0.18	0.01	0.01	0	0
0.08	18.69	0.03	0.34	0.02	0.1	0.09	0.51	0.92	0.14	0.006	0.072	1.59	1.27	0.01	6.82	5.49	0.06	0.09	0.06	0
0.1	3.49	0.03	1.95	0.06	0.09	0.07	0.69	0.14	0.44	0.008	0.155	5.96	0.96	0.01	4.54	0.77	0.02	0.01	0.02	0
0.07	2.84	0.05	0.59	0.07	0.01	0.08	1.18	0.07	0.77	0.77	0.042	17.04	1.34	0.009	12.67	0.01	0.05	0.02	0.06	0
4.44	28.93	0.03	2.84	0.003	5.6	0.37	1.38	0.63	0.97	0.97	0.017	3.83	1.39	0.004	3.3	0	0.04	0.35	0.06	1
0.65	24.48	0.66	1.31	0.01	3.54	0.77	1.45	0.98	0	0	0.167	14.84	1.89	0.004	30.43	4.99	0.08	0.25	0.08	0
0.25	6.71	0.69	1.41	0.01	2.61	0.25	1.09	1.35	0.16	0.002	0.031	17.14	1.8	0.007	55.32	1.15	0.08	0.26	0.08	0
0.05	7.22	0.04	0.63	0.03	0.1	0.04	1.04	1.39	0.07	0.006	0.176	3.65	1.16	0.008	2.62	2.62	0.03	0.03	0.05	0
0.95	24.84	0.03	2.73	0.008	7.49	0.76	2	1	0.79	0.79	0.169	10.47	1.31	0.009	26.54	7.05	0.01	0.42	0.06	0
0.37	29.23	0.02	1.43	0.006	3.29	0.46	0.01	1.28	0.77	0.77	0.144	2.06	1.93	0.002	29	2.27	0.02	0.25	0.07	0
0.05	28.26	0.05	0.42	0.06	0.07	0.04	1.59	1.04	0.08	0.007	0.141	6.48	1.43	0.006	1.45	0.21	0.05	0.01	0.08	0
0.01	13.21	0.1	0.73	0.06	0.19	0.1	0.06	0.31	0.01	0.007	0.19	10.63	0.62	0.003	0.27	0.71	0.04	0.08	0.04	0
0.01	11.74	0.07	3.28	0.02	7.02	0.14	1.99	1.44	0.15	0.003	0.1	4.74	1.81	0.01	35.23	2.12	0.02	0.49	0.04	0
0.01	12.14	0.3	1.7	0.03	3.38	0.37	1.33	1.08	0.44	0.005	0.093	4.37	2.1	0.001	50.31	6.81	0.02	0.31	0.01	0
0.07	23.59	0.01	3.6	0.001	3.37	0.11	1.17	0.27	0.26	0.005	0.013	17.62	1.97	0.001	54.7	4.29	0.02	0.42	0.08	0
0.01	22.06	0.06	0.23	0.02	0.09	0	1.65	0.61	0.78	0.78	0.146	16.5	1.4	0.003	0.19	1.78	0.05	0.06	0.06	0
4.64	22.51	0.04	2.97	0.007	6.57	0.41	1.44	0.58	0.96	0.96	0.191	9.99	1.9	0.008	48.08	6.53	0.02	0.21	0.08	0
3.12	18.12	0.03	3.98	0.006	1.87	0.07	0.66	0.04	0.32	0.002	0.028	8.02	1.07	0.002	40.27	1.16	0	0.35	0.02	1
0.88	14.49	1.02	3.09	0.01	0.34	0.27	1.23	1.01	0.6	0.6	0.04	11.95	1.98	0.007	4.65	4.47	0.02	0.29	0.01	0
0.01	19.59	0.04	1.48	0.008	6.62	0.06	1.69	0.94	0.51	0.51	0.198	10.67	1.62	0.008	50.55	7.92	0.08	0.09	0.03	0
0.07	26.64	0.001	0.19	0.004	1.67	0.77	0.05	1.43	0.92	0.92	0.04	4.18	1.85	0.007	53.91	2.01	0.01	0.23	0.01	0
0.19	1.53	0.01	1.11	0.007	3.74	0.41	0.85	0.82	0.9	0.9	0.154	13.5	1.85	0.009	29.96	4.47	0.03	0.19	0	0
0.04	8.51	0.73	4.46	0.04	3.15	0.69	0.05	1.1	0.29	0	0.001	0.92	2.03	0.004	32.46	1.97	0.07	0.25	0.01	0
1.34	14.78	0.03	0.96	0.009	7.78	0.88	0	0.38	0	0	0.166	0.34	1.35	0.01	14.42	2.6	0.09	0.44	0.01	1
0.01	8.78	0.07	0.3	0.04	0.09	0.04	1.53	1.17	0.43	0.007	0.091	14.42	0.51	0.009	11.19	0.27	0.03	0.09	0.04	0
0.08	9.07	0.01	0.4	0	0.05	0.07	0.01	0.01	0.5	0.5	0.148	10.33	1.95	0.007	9.77	0.72	0.06	0.08	0.02	0
0.01	19.3	0.05	0.7	0.01	0.05	0	0.05	0.3	0	0.56	0.166	9.67	0.6	0.006	5.09	3.23	0.06	0	0.02	0
0.05	27.69	0.08	2.96	0.02	0.02	0.05	0.07	1.39	0	0.89	0.005	8.17	0.32	0.005	0.41	0.91	0.08	0.09	0	0
0.58	29.19	0.02	1.71	0.007	1.13	0.53	1.34	0.03	0.98	0.98	0.068	10.9	1.45	0.005	2.75	3.81	0.05	0.18	0.02	1
0.05	21.98	0.04	0.04	0.03	0.48	0.01	1.72	0.81	0	0.87	0.15	2.75	0.4	0.004	0.62	6.94	0.02	0.02	0.05	0
0.03	28.92	0.36	2.02	0.02	7.04	0.36	0.03	1.1	0.38	0.005	0.044	7.31	1.62	0.006	43.93	2.27	0.06	0.24	0	0
3.26	21.24	0.05	3.86	0.008	2.49	0.51	1.06	0.1	0.84	0.84	0.139	15.88	1.25	0.001	55.98	4.87	0.08	0.02	0.07	0
0.03	18.24	0.03	1.05	0.06	0.09	0.01	1.45	1.4	0.28	0.003	0.102	8.47	1.48	0.002	3.6	0.2	0.01	0.09	0.04	0
4.3	16.35	0.03	2.9	0.008	5.14	0.29	1.5	0.25	0.02	0	0.083	6.22	1.91	0.009	50.04	1.39	0.02	0.11	0	0
4.76	26.3	0.61	3.94	0.08	1.66	0.82	1.42	1.29	0	0.002	0.01	2.36	1.64	0.004	11.06	2.54	0.08	0.44	0.07	0
1.67	23.18	0.66	3.48	0.08	6.89	0.39	1.52	0.67	0.68	0.68	0.105	5.98	1.44	0.003	47.11	6.25	0.04	0.18	0.01	0
0.02	23.43	0.01	0.48	0.05	0.4	0.02	0.05	0.52	0	0.008	0.025	18.28	0.83	0.009	4.5	1.77	0.09	0.01	0.04	0
3.94	21.58	0.04	2.9	0.006	5.65	0.08	0.35	1.43	0.71	0.71	0.061	17.79	1.04	0.004	6.89	2.9	0.05	0.46	0.03	1
0.05	23.76	0.02	0.1	0.07	0.04	0	1.99	0.81	0.19	0.001	0.098	3.77	1.65	0.003	0.19	3.93	0.1	0.04	0.02	0
0.06	2.97	0.02	0.35	0.06	0.31	0.02	1.61	0.45	0.24	0.002	0.149	18.77	1.69	0.004	3.69	1.06	0.1	0	0.03	0
0.14	16.61	0.03	2.75	0.001	4.85	0.82	0.27	0.41	0.67	0.67	0.067	18.84	1.55	0.001	7.88	0.14	0.04	0.49	0.07	0
3.41	19.19	0.97	1.31	0.1	4.69	0.35	1.37	0.65	0	0	0.034	11.37	2.28	0.008	47.68	6.75	0.06	0.42	0.02	0
4.23	22.03	0.67	2.41	0.08	5.91	0.68	0.34	0.12	0	0	0.135	13.54	1.22	0.002	8.36	2.38	0.06	0.19	0.04	0
0.03	16.06	0.25	3.41	0.07	8.13	0.16	0.58	1.07	0.52	0.52	0.103	16.62	1.92	0.005	30.15	6.38	0.01	0.27	0	0
0.04	15.3	0.02	1.01	0.001	6.21	0.79	1.76	0.83	0.21	0.002	0.03	7.48	1.52	0.005	7.51	0.63	0.07	0.13	0.08	0
0.07	3.83	0.07	0.19	0.04	0.08	0.02	0.5	1.31	0.13	0.009	0.068	13.52	1.35	0	0.33	0.4	0.08	0.06	0.03	0
3.83	18.88	0.04	2.49	0.003	5.71	0.3	0.67	1.08	0	0	0.008	10.56	1.84	0.008	16.54	3.4	0.08	0.29	0.02	1
0.03	22.88	0	0.61	0.01	0.05	0.08	0.54	1.33	0.05	0.001	0.166	11.96	0.2	0.006	0.1	0.2	0.07	0.08	0.08	0
3.56	16.35	0.99	3.68	0.04	4.16	0.36	0.31	0.74	0	0.55	0.093	8.02	1.87	0.009	40.43	7.43	0.09	0.09	0.05	0
0.08	13.22	0.09	1.1	0.01	0.09	0.03	0.88	0.28	0.15	0.005	0.097	7.35	1.34	0.004	1.67	0.49	0.03	0.07	0.08	0
0.03	27.94	0.02	2.75	0.004	6.59	0.58	0.74	0.84	0.22	0.004	0.043	2.32	1.55	0.007	55.79	7.04	0.09	0.13	0.09	0
0.08	22.99	0.06	2.71	0.09	0.04	0.06	0.5	0.85	0.44	0.004	0.034	3.82	1.2	0.007	0.87	1.91	0.09	0.02	0.02	0
0.04	13.28	0.04	0.28	0.02	0.1	0	0	0.7	0.08	0.001	0.144	8.95	0.18	0.005	1.35	4.1	0.06	0.01	0.02	1
0.22	15.04	0.94	2.33	0.12	6.7	0.62	1.57	0.26	0.69	0.69	0.182	1.7	2.18	0.008	36.77	2.39	0.01	0.2	0.05	0
0.07	20.99	0.04	1.74	0.07	0.1	0.1	0.06	1.43	0	0.51	0.094	5.74	0.94	0.005	6.41	2.43	0.05	0.04	0.03	0
0.05	13.04	0.08	0.95	0.05	0.14	0.05	0.57	1.33	0	1	0.065	17.71	0.34	0.004	2.71	2.53	0.08	0.06	0.08	0
0.04	1.17	0.09	1.24	0.07	0.12	0.04	0.55	0.96	0	0.004	0.062	15.18	0.37	0.003	0.15	0.42	0.03	0.02	0.04	0
0.02	5.9	0.01	0.77	0.009	3.48	0.62	1.33	0.58	0.22	0.002	0.168	17.61	1.99	0.008	48.67	2.28	0.05	0.28	0.05	0
0.01	0.13	0.05	0.28	0.04	0.03	0.06	0.49	1.39	0	0	0.064	6.15	1.74	0.009	5.81	4.36	0.09	0.09	0.06	0
0.05	19.13	0.05	0.58	0.07	0.31	0.05	0	0.86	0	0.005	0.197	13.65	0.89	0.001	6.23	4.36	0.08	0.01	0.07	0
1.19	14.94	0.01	1.8	0.002	1.67	0.2	1.08	0.52	0.74	0.74	0.067	4.52	1.52	0	17.72	4.91	0.04	0.45	0.02	1
0.09	1.93	0.04	0.95	0.04	0.15	0.02	0.1	1.47	0.9	0.9	0.097	2.42	1.16	0.003	1.44	1.97	0.01	0.01	0.01	0
1.41	3.42	0.02	3.34	0.001	5.79	0.12	1.85	0.33	0	0	0.16	5.35	1.37	0.003	36.39	4.33	0.02	0.39	0.07	1
0.06	7.78	0	0.16	0.01	0.29	0.05	0.02	0.07	0	0	0.015	14.66	0.12	0.004	0.45	0.91	0.03	0.01	0.04	0
0.02	9.69	0.07	1.31	0.01	0.09	0.1	0.05	1.43	0	0.58	0.144	1.6	0.62	0.009	0.83	0.2	0.05	0.01	0.01	0
0.05	23.63	0.05	0.56	0.1	0.09	0.06	0.03	0.62	0	0.65	0.044	6.94	0.29	0.005	10.22	0.66	0.03	0	0.02	0
0.09	25.82	0.04	1.3	0.06	0.06	0.01	1.96	1.32	0.85	0.85	0.192	13.28	1.37	0.002	1.5	0.87	0.09	0.03	0.09	0
0	26.82	0.05	1.74	0.003	3.11	0.83	0.84	0.33	0.89	0.89	0.048	12.51	1.67	0.006	23.36	3.93	0.06	0.41	0.08	0
4.53	0.27	0.01	1.17	0.001	6.17	0.11	1.41	1.08	0.38	0.002	0.15	0.69	1.88	0.003	51.54	6.69	0.04	0.06	0.04	1
